# Transmission spectrum extracted from transmission.png
# Columns: pixel_x, pixel_y, x_normalized, y_normalized
# Note: x_normalized and y_normalized are in range [0, 1]
# The actual wavelength/frequency and transmission values depend on the original plot axes
# Modify the ranges in the script if you know the actual axis values
#
# pixel_x    pixel_y    x_normalized    y_normalized(transmission)
   460.0     308.5  0.420475  0.196615
   461.0     308.5  0.421389  0.196615
   462.0     238.6  0.422303  0.378581
   463.0     261.2  0.423218  0.319661
   464.0     283.9  0.424132  0.260742
   465.0     306.5  0.425046  0.201823
   466.0     306.5  0.425960  0.201823
   467.0     306.5  0.426874  0.201823
   468.0     228.0  0.427788  0.406250
   469.0     228.0  0.428702  0.406250
   470.0     228.0  0.429616  0.406250
   471.0     305.0  0.430530  0.205729
   472.0     304.5  0.431444  0.207031
   473.0     304.5  0.432358  0.207031
   474.0     227.4  0.433272  0.407738
   475.0     227.4  0.434186  0.407738
   476.0     227.4  0.435101  0.407738
   477.0     302.5  0.436015  0.212240
   478.0     302.5  0.436929  0.212240
   479.0     302.5  0.437843  0.212240
   480.0     227.1  0.438757  0.408482
   481.0     226.9  0.439671  0.409226
   482.0     226.9  0.440585  0.409226
   483.0     301.0  0.441499  0.216146
   484.0     300.5  0.442413  0.217448
   485.0     300.5  0.443327  0.217448
   486.0     226.3  0.444241  0.410714
   487.0     226.3  0.445155  0.410714
   488.0     226.3  0.446069  0.410714
   489.0     299.5  0.446984  0.220052
   490.0     298.5  0.447898  0.222656
   491.0     298.5  0.448812  0.222656
   492.0     226.0  0.449726  0.411458
   493.0     225.7  0.450640  0.412202
   494.0     225.7  0.451554  0.412202
   495.0     297.5  0.452468  0.225260
   496.0     297.5  0.453382  0.225260
   497.0     296.5  0.454296  0.227865
   498.0     225.4  0.455210  0.412946
   499.0     225.4  0.456124  0.412946
   500.0     225.1  0.457038  0.413690
   501.0     295.5  0.457952  0.230469
   502.0     295.5  0.458867  0.230469
   503.0     295.5  0.459781  0.230469
   504.0     224.9  0.460695  0.414435
   505.0     224.9  0.461609  0.414435
   506.0     224.9  0.462523  0.414435
   507.0     294.5  0.463437  0.233073
   508.0     293.5  0.464351  0.235677
   509.0     293.5  0.465265  0.235677
   510.0     224.6  0.466179  0.415179
   511.0     224.6  0.467093  0.415179
   512.0     224.6  0.468007  0.415179
   513.0     292.5  0.468921  0.238281
   514.0     292.5  0.469835  0.238281
   515.0     292.5  0.470750  0.238281
   516.0     224.0  0.471664  0.416667
   517.0     224.0  0.472578  0.416667
   518.0     224.0  0.473492  0.416667
   519.0     291.5  0.474406  0.240885
   520.0     291.5  0.475320  0.240885
   521.0     291.5  0.476234  0.240885
   522.0     223.7  0.477148  0.417411
   523.0     223.7  0.478062  0.417411
   524.0     223.7  0.478976  0.417411
   525.0     290.5  0.479890  0.243490
   526.0     290.5  0.480804  0.243490
   527.0     289.5  0.481718  0.246094
   528.0     223.4  0.482633  0.418155
   529.0     223.4  0.483547  0.418155
   530.0     223.4  0.484461  0.418155
   531.0     289.5  0.485375  0.246094
   532.0     289.5  0.486289  0.246094
   533.0     288.5  0.487203  0.248698
   534.0     223.1  0.488117  0.418899
   535.0     223.1  0.489031  0.418899
   536.0     223.1  0.489945  0.418899
   537.0     288.5  0.490859  0.248698
   538.0     288.5  0.491773  0.248698
   539.0     288.5  0.492687  0.248698
   540.0     222.9  0.493601  0.419643
   541.0     222.9  0.494516  0.419643
   542.0     222.9  0.495430  0.419643
   543.0     287.5  0.496344  0.251302
   544.0     287.5  0.497258  0.251302
   545.0     287.5  0.498172  0.251302
   546.0     222.9  0.499086  0.419643
   547.0     222.9  0.500000  0.419643
   548.0     222.9  0.500914  0.419643
   549.0     286.5  0.501828  0.253906
   550.0     286.5  0.502742  0.253906
   551.0     286.5  0.503656  0.253906
   552.0     222.6  0.504570  0.420387
   553.0     222.6  0.505484  0.420387
   554.0     222.6  0.506399  0.420387
   555.0     286.5  0.507313  0.253906
   556.0     286.5  0.508227  0.253906
   557.0     286.5  0.509141  0.253906
   558.0     222.6  0.510055  0.420387
   559.0     222.6  0.510969  0.420387
   560.0     254.5  0.511883  0.337147
   561.0     286.5  0.512797  0.253906
